code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,target,total_clicks,active_days,avg_clicks_per_day,relative_engagement,avg_score,avg_lateness
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,0,1478.0,40.0,4.633228840125392,1.594806425262502,85.0,11.0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1,312.0,11.0,3.8518518518518516,-0.5268688809511919,67.0,13.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,0,319.0,13.0,3.8902439024390243,-0.5141315506394459,57.0,-1.0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,351.0,23.0,2.763779527559055,-0.45590375492860696,66.0,-1.0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,749.0,32.0,4.567073170731708,0.2683044542249524,80.0,-9.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,1155.0,35.0,4.714285714285714,1.0070696123062215,81.0,0.0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,0,345.0,11.0,4.423076923076923,-0.4668214666243893,66.0,-1.0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,0,454.0,26.0,3.242857142857143,-0.2684830374843441,74.0,-1.0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,0,548.0,24.0,4.6440677966101696,-0.09743888758375471,76.0,0.0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,0,586.0,25.0,4.764227642276423,-0.028293380177133468,72.0,-3.0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,0,88.0,9.0,2.5142857142857142,-0.9344634509270645,73.0,0.0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,778.0,30.0,4.228260869565218,0.3210733940879002,75.0,6.0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,0,435.0,24.0,2.843137254901961,-0.30305579118765474,69.0,7.0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1,450.0,34.0,3.0405405405405403,-0.275761511948199,85.0,-10.5
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,0,157.0,8.0,4.361111111111111,-0.8089097664255681,63.0,-1.0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,788.0,28.0,6.735042735042735,0.3392695802475374,87.0,-1.0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,1,57.0,10.0,2.28,-0.9908716280219397,0.0,0.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,1,232.0,17.0,3.0933333333333333,-0.6724383702282893,64.5,-0.5
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,1398.0,37.0,4.382445141065831,1.4492369359854047,72.0,-4.0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,0,574.0,21.0,3.656050955414013,-0.050128803568698074,77.0,0.0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,7.0,3.0,1.4,-1.0818525588201255,55.0,17.5
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,473.0,16.0,4.185840707964601,-0.23391028378103348,65.0,-2.0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,1400.0,41.0,3.6649214659685865,1.4528761732173323,61.0,0.0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,0,225.0,13.0,3.515625,-0.6851757005400353,75.0,0.0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,1,132.0,8.0,2.693877551020408,-0.854400231824661,52.0,0.0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1,401.0,30.0,3.3983050847457625,-0.3649228241304211,73.0,3.0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,1,110.0,6.0,4.074074074074074,-0.8944318413758627,52.0,13.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,920.0,40.0,3.607843137254902,0.579459237554748,77.0,4.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,0,37.0,5.0,2.0555555555555554,-1.0272640003412141,54.0,-2.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,0,513.0,21.0,4.170731707317073,-0.1611255391424848,75.0,0.0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,0,1266.0,44.0,5.064,1.209047278678194,82.0,-1.0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,1,551.0,20.0,4.443548387096774,-0.09198003173586357,76.0,0.5
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,421.0,21.0,4.048076923076923,-0.32853045181114676,79.0,-1.0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,1,663.0,34.0,3.5837837837837836,0.11181725325207274,65.0,-10.0
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0,85.0,7.0,2.9310344827586206,-0.9399223067749557,82.0,-1.0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,475.0,18.0,3.682170542635659,-0.23027104654910605,60.0,0.0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,0,275.0,11.0,2.8350515463917527,-0.5941947697418495,76.0,0.0
AAA,2013J,172112,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,0,326.0,24.0,2.7394957983193278,-0.5013942203276999,60.0,0.0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,Pass,0,265.0,12.0,3.045977011494253,-0.6123909559014866,60.0,-1.0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,1778.0,48.0,4.467336683417085,2.1406920100516174,83.0,-2.0
AAA,2013J,175392,M,North Region,HE Qualification,?,35-55,0,60,N,Pass,0,1564.0,44.0,4.030927835051546,1.7512936262353818,85.0,-3.0
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,0,820.0,33.0,4.880952380952381,0.3974973759583763,76.0,-1.0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1,97.0,6.0,4.409090909090909,-0.9180868833833911,51.0,-4.0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,0,689.0,37.0,3.1176470588235294,0.15912733726712938,61.0,-1.0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,1,439.0,16.0,3.376923076923077,-0.29577731672379987,76.0,1.0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,0,798.0,31.0,4.222222222222222,0.35746576640717453,57.0,0.0
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,0,267.0,11.0,2.752577319587629,-0.6087517186695592,67.0,0.0
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,0,489.0,38.0,2.876470588235294,-0.20479638592561403,65.0,-1.0
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,1,427.0,15.0,4.313131313131313,-0.3176127401153645,74.0,5.0
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,0,880.0,29.0,3.9461883408071747,0.5066744929161994,85.0,14.0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,0,3023.0,49.0,5.8699029126213595,4.406117186926445,88.0,-2.0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,1,1095.0,29.0,4.025735294117647,0.8978924953483985,77.5,0.0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,481.0,20.0,4.537735849056604,-0.21935333485332376,76.0,0.0
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,0,767.0,39.0,3.9536082474226806,0.3010575893122993,75.0,0.0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,1,324.0,12.0,5.225806451612903,-0.5050334575596274,0.0,0.0
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,0,278.0,25.0,2.278688524590164,-0.5887359138939583,69.0,-1.0
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,1,850.0,26.0,4.56989247311828,0.45208593443728784,68.0,8.0
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,781.0,30.0,3.425438596491228,0.32653224993579133,75.0,0.0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,1,236.0,12.0,3.746031746031746,-0.6651598957644345,67.0,0.0
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,0,1149.0,43.0,3.9757785467128026,0.9961519006104392,84.0,0.0
AAA,2013J,227517,M,Ireland,HE Qualification,?,0-35,0,180,N,Fail,1,670.0,25.0,4.32258064516129,0.12455458356381877,63.0,-1.0
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,84.0,12.0,2.0,-0.9417419253909194,58.0,0.0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,69.0,6.0,1.864864864864865,-0.9690362046303752,71.0,0.0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,239.0,15.0,3.514705882352941,-0.6597010399165433,64.0,0.0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0,231.0,27.0,3.1216216216216215,-0.674257988844253,81.0,-1.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,0,594.0,25.0,4.604651162790698,-0.01373643124942373,80.0,0.0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,1,184.0,19.0,2.787878787878788,-0.7597800637945478,63.5,2.5
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,0,159.0,8.0,3.697674418604651,-0.8052705291936406,85.0,4.0
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,595.0,37.0,2.9899497487437188,-0.011916812633460014,83.0,0.0
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,0,66.0,6.0,2.357142857142857,-0.9744950604782663,82.0,0.0
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,162.0,7.0,3.176470588235294,-0.7998116733457495,74.0,-1.0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,749.0,34.0,3.763819095477387,0.2683044542249524,85.0,-3.0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,1,345.0,18.0,3.2547169811320753,-0.4668214666243893,51.0,0.0
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,0,226.0,13.0,2.7228915662650603,-0.6833560819240716,66.0,-1.0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,442.0,21.0,3.622950819672131,-0.29031846087590873,60.0,-1.0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,0,940.0,49.0,3.884297520661157,0.6158516098740223,77.0,0.0
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,0,1287.0,46.0,4.151612903225806,1.2472592696134321,84.0,0.0
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,0,275.0,14.0,4.508196721311475,-0.5941947697418495,71.0,18.0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,0,265.0,16.0,2.7604166666666665,-0.6123909559014866,58.0,-1.0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,927.0,42.0,3.7379032258064515,0.592196567866494,58.0,0.0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,1,218.0,16.0,3.303030303030303,-0.6979130308517814,55.0,2.0
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,0,417.0,22.0,3.3095238095238093,-0.33580892627500164,60.0,-1.0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,1100.0,29.0,4.182509505703422,0.9069905884282171,81.0,-1.0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,1,943.0,24.0,5.1530054644808745,0.6213104657219135,64.0,-1.0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,1,141.0,7.0,4.7,-0.8380236642809875,51.0,10.0
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,1268.0,36.0,5.660714285714286,1.2126865159101217,80.0,0.0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,1,1154.0,26.0,5.392523364485982,1.005249993690258,70.0,-9.5
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,0,466.0,18.0,4.052173913043478,-0.24664761409277952,79.0,-1.0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,0,155.0,14.0,3.2291666666666665,-0.8125490036574955,70.0,-1.0
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,1,100.0,9.0,1.9230769230769231,-0.9126280275355,63.0,-1.0
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,1,54.0,7.0,2.347826086956522,-0.9963304838698309,0.0,0.0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,930.0,25.0,5.375722543352601,0.5976554237143852,61.0,0.0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,130.0,13.0,2.6530612244897958,-0.8580394690565885,55.0,-1.0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,252.0,15.0,4.581818181818182,-0.636045997909015,69.0,2.0
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,646.0,21.0,4.7153284671532845,0.08088373678068955,78.0,-1.0
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,136.0,7.0,3.675675675675676,-0.8471217573608061,75.0,-1.0
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,1732.0,46.0,3.5564681724845997,2.0569895537172864,85.0,-1.0
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,1,0.0,0.0,0.0,-1.0,0.0,0.0
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,0,12.0,3.0,1.5,-1.072754465740307,0.0,0.0
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,697.0,27.0,5.666666666666667,0.17368428619483914,72.0,-3.0
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,242.0,20.0,3.903225806451613,-0.6542421840686521,61.0,-1.0
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,1,319.0,22.0,3.009433962264151,-0.5141315506394459,58.0,-1.0
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,0,750.0,29.0,4.285714285714286,0.2701240728409161,91.0,-1.0
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,0,254.0,22.0,3.0602409638554215,-0.6324067606770876,77.0,0.0
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,728.0,29.0,3.978142076502732,0.23009246328971436,82.0,1.0
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,1,153.0,9.0,3.1875,-0.816188240889423,58.0,-1.0
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,1,115.0,7.0,3.9655172413793105,-0.8853337482960442,64.0,0.0
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,0,598.0,29.0,3.8089171974522293,-0.0064579567855688625,75.0,0.0
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,1,68.0,6.0,2.6153846153846154,-0.9708558232463389,0.0,0.0
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,0,331.0,20.0,3.7613636363636362,-0.4922961272478813,73.0,-1.0
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,456.0,26.0,4.108108108108108,-0.26484380025241666,81.0,-12.0
AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,0,1329.0,49.0,3.1947115384615383,1.3236832514839083,72.0,-3.0
AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,0,336.0,21.0,2.7768595041322315,-0.48319803416806273,82.0,0.0
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0,468.0,18.0,4.069565217391304,-0.24300837686085208,47.0,0.0
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,0,632.0,23.0,3.9748427672955975,0.05540907615719752,55.0,-1.0
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,0,4726.0,51.0,9.804979253112034,7.5049276899126545,88.0,0.0
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,135.0,10.0,3.5526315789473686,-0.8489413759767699,89.0,-1.0
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,0,501.0,30.0,3.170886075949367,-0.18296096253404942,70.0,-3.0
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0,1206.0,43.0,3.536656891495601,1.099870161720371,77.0,7.0
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,3490.0,49.0,6.017241379310345,5.255879080581501,82.0,-2.0
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,0,768.0,32.0,3.7463414634146344,0.30287720792826306,85.0,0.0
AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,0,488.0,27.0,4.206896551724138,-0.20661600454157775,58.0,-3.0
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,67.0,10.0,2.09375,-0.9726754418623026,38.0,-1.0
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,1,1904.0,36.0,5.0237467018469655,2.369963955663046,84.0,-10.5
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,540.0,17.0,4.615384615384615,-0.11199583651146446,69.0,-1.0
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,0,52.0,7.0,2.4761904761904763,-0.9999697211017584,72.0,0.0
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,0,193.0,10.0,3.3275862068965516,-0.7434034962508743,77.0,0.0
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,1,265.0,16.0,3.1176470588235294,-0.6123909559014866,57.0,0.0
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,1,284.0,26.0,3.4634146341463414,-0.577818202198176,36.0,-1.0
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,1,1211.0,40.0,4.091216216216216,1.1089682548001898,86.0,-10.0
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,593.0,29.0,4.392592592592592,-0.015556049865387448,71.0,-2.0
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,0,117.0,7.0,3.25,-0.8816945110641168,68.0,-3.0
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,1,0.0,0.0,0.0,-1.0,64.0,39.0
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,1,808.0,33.0,4.019900497512438,0.37566195256681173,75.0,-9.5
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,0,652.0,26.0,4.261437908496732,0.09180144847647186,68.0,-7.0
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,431.0,23.0,3.216417910447761,-0.3103342656515096,62.0,-5.0
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,0,1136.0,33.0,3.824915824915825,0.9724968586029109,74.0,0.0
